2584127	AAKB1_HUMAN	JUN_HUMAN	Ad-DN-AMPK	c-Jun	Negative_regulation,Positive_regulation,Phosphorylation,Gene_expression	Negative_regulation	Conversely, overexpression of Ad-DN-AMPK inhibited AICAR-induced phosphorylation of p38 kinase and c-Jun (Fig. 5B).
2836555	AAPK2_HUMAN	ELAV1_HUMAN	AMPK	cytoplasmic HuR	Regulation	Regulation	Moreover, the AMP-activated protein kinase (AMPK) and cyclin-dependent kinase 1 (Cdk1) have been shown to regulate cytoplasmic HuR levels by different mechanism, which in turn influence HuR function to stabilize the mRNAs encoding cyclin A, cyclin B1 and c-fos, and other proteins implicated in cell division and replicative senescence (1,21,22).
2848036	AAPK2_HUMAN	RPTOR_HUMAN	AMPK	Raptor	Negative_regulation,Phosphorylation	Negative_regulation	Recent studies have established that activated AMPK inhibits mTOR by phosphorylation of TSC2, a negative regulator, and Raptor, a positive regulator of mTOR, respectively [20-22].
2874696	AAPK1_HUMAN	AGFG1_HUMAN	AMPK	Rab	Positive_regulation	Positive_regulation	AMP-activated protein kinase mediation of the effect of muscle contraction on glucose transport Exercise, glucose transport, and insulin sensitivity Insulin action in skeletal muscle from patients with NIDDM Acute exercise induces GLUT4 translocation in skeletal muscle of normal human subjects and subjects with type 2 diabetes Distinct signals regulate AS160 phosphorylation in response to insulin, AICAR, and contraction in mouse skeletal muscle Substrate specificity and effect on GLUT4 translocation of the Rab GTPase-activating protein Tbc1d1 AMPK-mediated AS160 phosphorylation in skeletal muscle is dependent on AMPK catalytic and regulatory subunits AS160 regulates insulin- and contraction-stimulated glucose uptake in mouse skeletal muscle Insulin-stimulated phosphorylation of the Akt substrate AS160 is impaired in skeletal muscle of type 2 diabetic subjects Increased phosphorylation of Akt substrate of 160 kDa (AS160) in rat skeletal muscle in response to insulin or contractile activity A method to identify serine kinase substrates.
2932724	AAKB1_HUMAN	RS6_HUMAN	AMPK	ribosomal protein S6	Negative_regulation,Positive_regulation	Negative_regulation	AMPK has been reported to inhibit the activity of mTOR and the phosphorylation-mediated activation of 70-kDa ribosomal protein S6 kinase (p70S6K), events linked to the inhibition of cell proliferation and induction of a pro-apoptotic environment [29].
2955666	AAKB1_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation,Phosphorylation,Positive_regulation,Positive_regulation	Positive_regulation	Results AICAR-induced AMPK activation promotes phosphorylation of IRS-1 at Ser794 Recently, we reported that treatment of ALL cell lines with AICAR induced growth inhibition and apoptosis, and resulted in increased expression of P-Akt (Ser473) [3].
2955666	AAKB1_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation,Positive_regulation,Positive_regulation,Phosphorylation	Positive_regulation	We show that the mechanism of Akt activation in ALL cells is mediated in part by AMPK-induced phosphorylation of IRS-1 at Ser794, the immediate downstream effectors of the IGF-1R signaling cascade, and also in part by AMPK-induced inhibition of mTOR and its downstream feedback loop inhibition of IRS-1 (Ser312).
2955666	AAPK1_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation	Positive_regulation	These data indicate that the compensatory increase in P-Akt expression seen in AICAR-treated ALL cells results from both activation of IRS-1 by AMPK, and inhibition of the mTOR mediated feedback loop inhibition of IRS-1 activity.
2955666	AAPK2_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation,Phosphorylation,Positive_regulation	Positive_regulation	Activation of AMPK induces phosphorylation of IRS-1 at Ser794 and down-regulation of mTOR (Ser2448) in ALL cell lines.
3012198	AAPK2_HUMAN	IRS1_MOUSE	AMPK	IRS-1	Binding	Binding	IRS-1–associated PI 3-kinase activity, Akt Thr308 and Ser473 phosphorylation/Akt total protein expression, AS160 phosphorylation/total AS160 protein expression, and AMPK Thr172 phosphorylation/AMPK α2 total protein expression in the vastus lateralis muscle in women and men in the control (□) and intralipid (■) trial.
3351321	NUAK1_HUMAN	IRS1_MOUSE	MNUAK1KO	IRS1	Positive_regulation,Phosphorylation	Positive_regulation	Indeed, phosphorylation of IRS1 at Tyr-608, which is caused by insulin and leads to the activation of downstream molecules such as AKT and TBC1D4, was up-regulated in the soleus muscle of MNUAK1KO mice.
3406594	AAPK1_HUMAN	JUN_HUMAN	AMPK	c-jun	Positive_regulation,Binding	Positive_regulation	Consistently, overexpressions of AMPK-α1 in wt THP-1 markedly enhanced DNA-binding activities of p65, p50, c-fos, and c-jun (Figure 3c, p65; Figure 3d, p50; Figure 3e, c-fos; Figure 3f, c-jun).
3411779	AAPK2_HUMAN	AKTS1_MOUSE	AMPK	PRAS40	Regulation	Regulation	Along with PRAS40 regulation of raptor, AMP-activated protein kinase (AMPK) phosphorylates raptor, resulting in inhibition of mTORC1 [86].
3430578	AAPK2_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation,Negative_regulation	Positive_regulation	Because IRS-1/PI3K/Akt signaling can activate mTOR activity [31,36], which is well known to inhibit autophagy [31,36], it is possible that oxidative stress induces autophagy via AMPK-mediated inhibition of IRS-1/PI3K/Akt/mTOR signaling.
3494720	AAKB1_HUMAN	AMPD2_HUMAN	AMPK	AMPD2	Regulation	Regulation	These studies show that AMPD2 activity regulates AMPK activity.
3494720	AAPK1_HUMAN	AMPD2_HUMAN	AMPK	AMPD2	Binding	Binding	While it is well-known that AMPK stimulates fat oxidation and inhibits lipogenesis, no studies to date have investigated the interaction of AMPD2 and AMPK in fructose-induced fatty liver.
3494720	AAPK2_HUMAN	AMPD2_HUMAN	AMPK	AMPD2	Regulation	Regulation	To determine whether AMPD2 modulates AMPK activity, we overexpressed AMPD2 isoform 2 (AMPD2) in HepG2 cells.
3578870	AAPK1_HUMAN	IRS1_HUMAN	AMPK	IRS-1	Positive_regulation,Phosphorylation	Positive_regulation	In this context it is relevant that AMPK not only blocks mTORC1 activation but also mediates IRS-1 phosphorylation at Ser794, an inhibitory site that attenuates PI3K/Akt activation [29], [73].
